                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     73,                0.70913,                 0.5378,                 1.1676,                0.85189,                0.72304,                0.80252,                0.52956,                 1.0367,                 0.7733,                 1.5408,               0.002872,               0.002872,               0.002872
                     74,                0.70414,                 0.5285,                 1.1568,                0.80409,                0.74664,                0.81277,                 0.5472,                 1.0199,                0.74637,                 1.5156,               0.002773,               0.002773,               0.002773
                     75,                0.70594,                0.51862,                 1.1563,                0.82596,                0.74379,                0.81395,                0.55206,                 1.0149,                0.73476,                    1.5,               0.002674,               0.002674,               0.002674
                     76,                0.69336,                0.51479,                 1.1433,                0.80122,                0.77338,                0.82615,                0.55236,                 1.0161,                0.72176,                 1.4938,               0.002575,               0.002575,               0.002575
                     77,                 0.6879,                 0.5161,                 1.1412,                0.81576,                0.71931,                0.80643,                0.54741,                 1.0176,                0.75397,                 1.4965,               0.002476,               0.002476,               0.002476
                     78,                0.68637,                0.51324,                 1.1404,                0.82335,                 0.7466,                0.82293,                0.55865,                 1.0114,                0.71957,                 1.4816,               0.002377,               0.002377,               0.002377
                     79,                0.68357,                0.51607,                 1.1366,                0.83832,                0.71335,                0.80733,                0.54398,                 1.0085,                0.74657,                 1.4977,               0.002278,               0.002278,               0.002278
                     80,                0.67142,                0.49362,                 1.1323,                 0.8223,                 0.7451,                0.81948,                0.55642,                 1.0066,                0.73081,                 1.5055,               0.002179,               0.002179,               0.002179
                     81,                  0.671,                0.49643,                 1.1287,                0.79788,                0.75462,                0.80825,                0.55389,                 1.0043,                0.73907,                 1.5123,                0.00208,                0.00208,                0.00208
                     82,                 0.6642,                0.48537,                 1.1235,                0.80149,                0.72366,                0.80155,                0.54097,                 1.0123,                 0.7554,                 1.5174,               0.001981,               0.001981,               0.001981
                     83,                0.66074,                0.48298,                 1.1273,                0.80581,                0.71653,                0.80208,                0.54128,                 1.0132,                0.75011,                 1.5218,               0.001882,               0.001882,               0.001882
                     84,                0.65025,                0.48147,                 1.1228,                0.80891,                 0.7564,                0.81362,                0.54159,                 1.0212,                0.74839,                 1.5239,               0.001783,               0.001783,               0.001783
                     85,                 0.6522,                0.47891,                 1.1206,                0.80527,                0.76388,                 0.8201,                 0.5511,                 1.0167,                0.75389,                 1.5376,               0.001684,               0.001684,               0.001684
                     86,                0.64512,                0.46375,                 1.1226,                0.80137,                0.76948,                0.81605,                0.54923,                  1.011,                0.73159,                 1.5253,               0.001585,               0.001585,               0.001585
                     87,                0.64434,                0.46928,                 1.1276,                0.78953,                0.75794,                0.80261,                0.54479,                 1.0136,                0.74625,                 1.5308,               0.001486,               0.001486,               0.001486
                     88,                0.63419,                 0.4562,                 1.1046,                0.82384,                0.75106,                0.82023,                0.56044,                  1.001,                0.74896,                 1.5116,               0.001387,               0.001387,               0.001387
                     89,                0.61744,                0.45356,                 1.0987,                0.82763,                0.76084,                0.82778,                0.56255,                 1.0007,                0.74072,                 1.5049,               0.001288,               0.001288,               0.001288
                     90,                0.51361,                0.32228,                 1.0226,                0.84501,                0.74891,                0.81703,                 0.5529,                 1.0141,                0.72636,                 1.5443,               0.001189,               0.001189,               0.001189
                     91,                0.49553,                0.30354,                  1.008,                0.81996,                0.76484,                0.82207,                0.55266,                 1.0082,                0.71874,                 1.5397,                0.00109,                0.00109,                0.00109
                     92,                0.48397,                0.29153,                 1.0062,                0.80732,                0.77011,                0.81696,                0.55893,                 1.0016,                  0.721,                 1.5206,               0.000991,               0.000991,               0.000991
                     93,                  0.482,                0.28483,                0.99703,                0.83434,                0.73025,                0.81719,                0.55821,                 1.0023,                0.72941,                 1.5335,               0.000892,               0.000892,               0.000892
                     94,                0.46904,                0.27382,                  0.993,                0.80752,                0.73567,                0.80549,                 0.5535,                 1.0106,                0.73861,                   1.54,               0.000793,               0.000793,               0.000793
                     95,                0.44826,                0.26602,                0.97844,                 0.8322,                0.74123,                0.81523,                0.55582,                0.99985,                0.73495,                 1.5344,               0.000694,               0.000694,               0.000694
                     96,                0.44644,                0.26498,                0.96339,                0.81385,                0.74504,                 0.8149,                 0.5593,                 1.0071,                0.73299,                 1.5511,               0.000595,               0.000595,               0.000595
                     97,                0.43765,                0.26307,                0.96692,                0.81865,                0.73414,                0.81674,                0.55882,                  1.007,                0.73449,                 1.5577,               0.000496,               0.000496,               0.000496
                     98,                0.43784,                0.25227,                0.96547,                0.84284,                0.71921,                0.81482,                0.56021,                 1.0046,                0.75117,                 1.5523,               0.000397,               0.000397,               0.000397
                     99,                0.43255,                0.25268,                0.97029,                0.85726,                0.70941,                0.81094,                 0.5564,                 1.0003,                0.73817,                 1.5479,               0.000298,               0.000298,               0.000298
