                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     41,                0.87601,                  1.279,                0.73502,                 1.0236,                0.74914,                0.72691,                0.72168,                0.52009,                0.66268,                0.66272,                0.59924,                0.20468,                 1.0503,                 1.1201,                 1.1083,                0.98179,               0.009703,               0.009703,               0.009703
                     42,                0.87126,                  1.275,                0.71896,                 1.0264,                0.75275,                0.73494,                0.75698,                0.53771,                0.66637,                 0.6506,                 0.6008,                0.20031,                 1.0189,                 1.1328,                0.99943,                 0.9669,              0.0096535,              0.0096535,              0.0096535
                     43,                0.85519,                 1.2614,                0.70843,                 1.0216,                0.78009,                0.67871,                0.71786,                0.52972,                0.69974,                0.62249,                0.60993,                0.20878,                 1.0704,                 1.1613,                 1.0265,                 1.0062,               0.009604,               0.009604,               0.009604
                     44,                 0.8561,                 1.2535,                0.71055,                 1.0161,                 0.7497,                0.71888,                0.73431,                0.51819,                0.68218,                0.66667,                0.63438,                0.22802,                 1.0709,                 1.0634,                  1.012,                  1.038,              0.0095545,              0.0095545,              0.0095545
                     45,                0.85635,                 1.2559,                0.70995,                 1.0222,                0.68925,                0.67698,                 0.6881,                0.51115,                0.58801,                0.64197,                0.55906,                0.20752,                  1.052,                 1.0898,                 1.0401,                0.98738,               0.009505,               0.009505,               0.009505
                     46,                 0.8551,                  1.271,                0.71334,                 1.0224,                0.76859,                0.69478,                0.72857,                0.52693,                0.73812,                0.63052,                0.66129,                0.22006,                   1.05,                 1.0668,                 1.0637,                0.99748,              0.0094555,              0.0094555,              0.0094555
                     47,                0.85484,                 1.2558,                0.71326,                 1.0172,                0.80669,                0.73742,                0.76669,                0.55745,                0.74348,                0.67871,                0.65091,                0.22793,                  1.033,                 1.0396,                 1.0107,                 0.9983,               0.009406,               0.009406,               0.009406
                     48,                 0.8439,                 1.2644,                0.69406,                 1.0137,                0.79615,                 0.7215,                 0.7637,                0.54829,                 0.7509,                0.61743,                0.65699,                0.21567,                0.99886,                 1.1041,                0.99985,                0.93128,              0.0093565,              0.0093565,              0.0093565
                     49,                0.83891,                 1.2475,                0.68544,                 1.0133,                0.78454,                0.73494,                0.77167,                0.57189,                0.73676,                 0.6744,                 0.6744,                0.24552,                0.97416,                 1.0803,                 0.9357,                0.91968,               0.009307,               0.009307,               0.009307
                     50,                0.82942,                 1.2608,                0.68715,                 1.0089,                0.78676,                0.74699,                0.73936,                0.56179,                0.72486,                0.70281,                0.63728,                0.21564,                0.97289,                 1.1603,                0.99599,                0.93886,              0.0092575,              0.0092575,              0.0092575
                     51,                0.83244,                 1.2359,                0.67686,                 1.0072,                0.85328,                0.67733,                0.74128,                0.53558,                0.75975,                0.59839,                0.59632,                0.19857,                 1.0827,                 1.2909,                 1.0758,                0.97238,                   0.01,                   0.01,                   0.01
                     52,                0.83045,                 1.2447,                0.67244,                 1.0054,                0.81899,                 0.6988,                 0.7467,                0.54786,                 0.7554,                0.65737,                0.65066,                 0.2158,                 1.0161,                 1.1104,                0.92682,                0.98237,              0.0099505,              0.0099505,              0.0099505
                     53,                0.82451,                 1.2468,                0.66955,                 1.0085,                0.81476,                0.74297,                0.77792,                0.55449,                0.73657,                0.67871,                0.65797,                0.22713,                 1.0573,                  1.111,                0.98247,                0.96708,               0.009901,               0.009901,               0.009901
                     54,                0.82035,                 1.2205,                0.66067,                 1.0037,                0.80665,                0.70281,                0.76135,                0.55453,                0.75669,                0.64659,                 0.6595,                0.22098,                0.98049,                 1.0719,                0.94325,                0.93989,              0.0098515,              0.0098515,              0.0098515
                     55,                 0.8236,                 1.2379,                0.65969,                 1.0028,                0.79138,                0.70078,                0.76883,                 0.5543,                0.70261,                0.62249,                0.62258,                0.21808,                0.99675,                  1.128,                0.92086,                0.94787,               0.009802,               0.009802,               0.009802
                     56,                0.81858,                 1.2089,                0.66017,                 1.0095,                0.77554,                0.70683,                0.72783,                0.53141,                  0.683,                0.62249,                0.59563,                0.20287,                 1.0482,                  1.129,                 1.0212,                0.99857,              0.0097525,              0.0097525,              0.0097525
                     57,                0.81451,                 1.2253,                 0.6555,                0.99651,                0.78949,                0.74297,                0.73359,                0.54915,                0.70389,                0.65462,                0.60686,                0.22206,                0.99764,                 1.1189,                0.94924,                0.95465,               0.009703,               0.009703,               0.009703
                     58,                0.82022,                 1.2232,                0.65811,                 1.0006,                0.77421,                0.68854,                0.71141,                0.53849,                0.73623,                0.63855,                 0.6229,                0.21919,                0.98441,                 1.1417,                 0.9837,                0.93738,              0.0096535,              0.0096535,              0.0096535
                     59,                0.80563,                 1.2134,                0.64437,                0.99933,                0.78697,                0.72696,                0.73847,                0.53465,                0.67993,                0.63855,                0.57901,                0.21965,                 1.0916,                 1.0983,                 0.9814,                0.99918,               0.009604,               0.009604,               0.009604
                     60,                0.80238,                 1.2001,                0.64201,                0.99241,                0.77862,                0.72289,                0.77729,                0.56391,                0.75731,                0.67672,                0.68443,                0.24255,                 1.0071,                 1.0811,                0.90126,                0.97422,              0.0095545,              0.0095545,              0.0095545
                     61,                0.80101,                 1.2133,                0.63757,                0.99885,                0.74146,                0.73494,                0.70948,                0.52541,                 0.6798,                 0.6747,                0.58563,                 0.2052,                 1.0077,                 1.0846,                 1.0314,                0.97382,               0.009505,               0.009505,               0.009505
                     62,                0.79447,                 1.2246,                0.63794,                0.99768,                0.77819,                0.69042,                0.70097,                0.51715,                0.72867,                0.60399,                0.57533,                0.20484,                 1.0483,                 1.0777,                 1.0321,                0.99591,              0.0094555,              0.0094555,              0.0094555
                     63,                0.79899,                 1.2076,                0.63918,                0.99259,                0.80625,                0.70281,                0.74324,                0.55472,                0.76096,                0.67068,                0.67181,                0.23389,                0.99623,                 1.0651,                0.95522,                0.97617,               0.009406,               0.009406,               0.009406
                     64,                0.79756,                 1.2232,                 0.6289,                0.99049,                0.80105,                0.69532,                0.73747,                0.54317,                0.77339,                0.63049,                0.65034,                0.21376,                0.98551,                 1.0961,                0.98449,                 0.9397,              0.0093565,              0.0093565,              0.0093565
                     65,                  0.789,                 1.1983,                0.62333,                0.99139,                0.80458,                0.71486,                0.74267,                0.56366,                0.78336,                0.63052,                0.64992,                0.25036,                0.98801,                 1.1263,                0.96398,                0.95604,               0.009307,               0.009307,               0.009307
                     66,                0.81061,                  1.234,                0.65161,                 1.0023,                0.77211,                0.71486,                0.72405,                0.55026,                0.70948,                0.70683,                0.64311,                0.22388,                0.98496,                 1.0875,                0.99703,                 0.9611,              0.0092575,              0.0092575,              0.0092575
                     67,                0.81037,                 1.2503,                0.64535,                 1.0001,                0.81513,                0.72603,                0.73775,                0.54114,                0.73995,                0.65462,                0.61881,                0.21741,                0.99168,                 1.0569,                0.94087,                0.95684,               0.009208,               0.009208,               0.009208
                     68,                0.80308,                 1.2262,                0.64221,                0.99813,                0.84298,                0.73896,                0.76317,                0.57853,                0.79479,                0.69478,                0.67105,                0.22515,                 0.9411,                 1.0656,                0.92213,                 0.9429,              0.0091585,              0.0091585,              0.0091585
                     69,                0.79788,                 1.2324,                0.63824,                0.99157,                0.81654,                0.70683,                0.73228,                0.54859,                0.74346,                 0.6506,                0.62933,                 0.2151,                0.96308,                 1.1201,                0.97329,                0.94426,               0.009109,               0.009109,               0.009109
